model,AUROC,AUPRC,Brier,ECE
tabular_only,0.640955043149299,0.3988776434036797,0.21966321726336693,0.18729662649333476
fixed_weight,0.6039062312546488,0.3676059405879906,0.22791343314909462,0.19131422059125003
learned_gate,0.6459038158536683,0.41369181906758323,0.1926815312107318,0.08720152375624998
LACE,0.6032024058033609,0.34149782526030165,0.19594940419407808,0.06366917555659007
HOSPITAL,0.62388527645144,0.3678460560718079,0.20078996393104157,0.11705576191168711
