threshold,strategy,net_benefit
0.09,tabular_only,0.19368131868131866
0.09,fixed_weight,0.19368131868131866
0.09,learned_gate,0.19368131868131866
0.09,LACE,0.18638736263736266
0.09,HOSPITAL,0.15489697802197802
0.09999999999999999,treat_none,0.0
0.09999999999999999,treat_all,0.18472222222222223
0.09999999999999999,tabular_only,0.18472222222222223
0.09999999999999999,fixed_weight,0.18472222222222223
0.09999999999999999,learned_gate,0.18472222222222223
0.09999999999999999,LACE,0.17861111111111114
0.09999999999999999,HOSPITAL,0.14979166666666668
0.11,treat_none,0.0
0.11,treat_all,0.17556179775280897
0.11,tabular_only,0.17556179775280897
0.11,fixed_weight,0.17509129213483146
0.11,learned_gate,0.17556179775280897
0.11,LACE,0.1706601123595506
0.11,HOSPITAL,0.14457162921348315
0.12,treat_none,0.0
0.12,treat_all,0.16619318181818182
0.12,tabular_only,0.16619318181818182
0.12,fixed_weight,0.16590909090909092
0.12,learned_gate,0.16619318181818182
0.12,LACE,0.15269886363636365
0.12,HOSPITAL,0.10190340909090909
0.13,treat_none,0.0
0.13,treat_all,0.15660919540229884
0.13,tabular_only,0.15660919540229884
0.13,fixed_weight,0.15645114942528737
0.13,learned_gate,0.15660919540229884
0.13,LACE,0.14547413793103448
0.13,HOSPITAL,0.09879310344827585
0.14,treat_none,0.0
0.14,treat_all,0.14680232558139533
0.14,tabular_only,0.14680232558139533
0.14,fixed_weight,0.14678779069767442
0.14,learned_gate,0.14680232558139533
0.14,LACE,0.1380813953488372
0.14,HOSPITAL,0.09561046511627906
0.15000000000000002,treat_none,0.0
0.15000000000000002,treat_all,0.1367647058823529
0.15000000000000002,tabular_only,0.1367647058823529
0.15000000000000002,fixed_weight,0.13702205882352939
0.15000000000000002,learned_gate,0.1367647058823529
0.15000000000000002,LACE,0.13051470588235292
0.15000000000000002,HOSPITAL,0.09235294117647058
0.16,treat_none,0.0
0.16,treat_all,0.1264880952380952
0.16,tabular_only,0.1264880952380952
0.16,fixed_weight,0.1269345238095238
0.16,learned_gate,0.1264880952380952
0.16,LACE,0.11017857142857142
