group_var,group_value,n,prevalence,AUROC,ECE,AUROC_gap
overall,all,1600,0.26625,0.6459038158536683,0.08720152375624998,0.0
age_group,65-79,1600,0.26625,0.6459038158536683,0.08720152375624998,0.0
